t,v_10,v_90
306.6333333,-88.35105667,-29.60406667
306.6666667,-88.32381,-29.60076
306.7,-88.29656333,-29.59745333
306.7333333,-88.26931667,-29.59414667
306.7666667,-88.24207,-29.59084
306.8,-88.22732333,-29.58753333
306.8333333,-88.22733667,-29.58422667
306.8666667,-88.25715,-29.58092
306.9,-88.29020333,-29.57761333
306.9333333,-88.32325667,-29.57430667
306.9666667,-88.36868,-29.571
307,-88.39051,-29.56769333
307.0333333,-88.37813333,-29.56438667
307.0666667,-88.36079667,-29.56108
307.1,-88.34346,-29.55777333
307.1333333,-88.32612333,-29.55446667
307.1666667,-88.30878667,-29.55116
307.2,-88.29145,-29.54785333
307.2333333,-88.27751333,-29.54454667
307.2666667,-88.26505667,-29.54124
307.3,-88.2526,-29.53793333
307.3333333,-88.25442333,-29.53462667
307.3666667,-88.25848,-29.53132
307.4,-88.26986667,-29.52801333
307.4333333,-88.28125333,-29.52470667
307.4666667,-88.21265333,-29.5214
307.5,-88.17518,-29.51809333
307.5333333,-88.16775,-29.51478667
307.5666667,-88.16032,-29.51643
307.6,-88.15289,-29.54698333
307.6333333,-88.14546,-29.57753667
307.6666667,-88.13803,-29.60809
307.7,-88.1306,-29.63864333
307.7333333,-88.13556,-29.66919667
307.7666667,-88.14052,-29.69975
307.8,-88.14548,-29.73030333
307.8333333,-88.15044,-29.76085667
307.8666667,-88.1554,-29.79141
307.9,-88.16036,-29.82196333
307.9333333,-88.16532,-29.85251667
307.9666667,-88.17028,-29.88307
308,-88.17524,-29.91362333
308.0333333,-88.1802,-29.94417667
308.0666667,-88.18516,-29.97473
308.1,-88.19012,-30.00528333
308.1333333,-88.19508,-30.03583667
308.1666667,-88.20004,-30.06639
308.2,-88.205,-30.09694333
308.2333333,-88.21657333,-30.12749667
308.2666667,-88.22814667,-30.15805
308.3,-88.23972,-30.18860333
308.3333333,-88.25129333,-30.21915667
308.3666667,-88.26286667,-30.24971
308.4,-88.27444,-30.28026333
308.4333333,-88.28601333,-30.31081667
308.4666667,-88.29758667,-30.34137
308.5,-88.30916,-30.37192333
308.5333333,-88.32073333,-30.40247667
308.5666667,-88.33230667,-30.43056
308.6,-88.34388,-30.41818333
308.6333333,-88.35545333,-30.40580667
308.6666667,-88.36702667,-30.39343
308.7,-88.3786,-30.38105333
308.7333333,-88.3786,-30.36867667
308.7666667,-88.37846,-30.3563
308.8,-88.34955,-30.34392333
308.8333333,-88.32312,-30.33154667
308.8666667,-88.29669,-30.31917
308.9,-88.27026,-30.30679333
308.9333333,-88.24383,-30.29441667
308.9666667,-88.23393333,-30.28204
309,-88.23972,-30.26966333
309.0333333,-88.24550667,-30.25728667
309.0666667,-88.25624333,-30.24491
309.1,-88.26698,-30.23253333
309.1333333,-88.27771667,-30.22015667
309.1666667,-88.28845333,-30.20778
309.2,-88.29919,-30.19540333
309.2333333,-88.30992667,-30.18302667
309.2666667,-88.31801,-30.17065
309.3,-88.30662,-30.15827333
309.3333333,-88.34863,-30.14589667
309.3666667,-88.36266,-30.13352
309.4,-88.37669,-30.12114333
309.4333333,-88.39072,-30.10876667
309.4666667,-88.40475,-30.09639
309.5,-88.41878,-30.08401333
309.5333333,-88.43281,-30.07163667
309.5666667,-88.43564,-30.06421
309.6,-88.43812,-30.09145667
309.6333333,-88.4406,-30.11870333
309.6666667,-88.44308,-30.14595
309.7,-88.44556,-30.17319667
309.7333333,-88.43646667,-30.20044333
309.7666667,-88.43729333,-30.22769
309.8,-88.43812,-30.25493667
309.8333333,-88.43316,-30.28218333
309.8666667,-88.4282,-30.30943
309.9,-88.42324,-30.33667667
309.9333333,-88.41828,-30.36392333
309.9666667,-88.41332,-30.39117
310,-88.40836,-30.41841667
310.0333333,-88.4034,-30.44566333
310.0666667,-88.39844,-30.47291
310.1,-88.39348,-30.50015667
310.1333333,-88.38852,-30.52740333
310.1666667,-88.38356,-30.55465
310.2,-88.3786,-30.58189667
310.2333333,-88.3786,-30.60914333
310.2666667,-88.3786,-30.63639
310.3,-88.3786,-30.66363667
310.3333333,-88.3786,-30.69088333
310.3666667,-88.3786,-30.71813
310.4,-88.3786,-30.74537667
310.4333333,-88.3786,-30.77262333
310.4666667,-88.3786,-30.79987
310.5,-88.3786,-30.82711667
310.5333333,-88.3786,-30.85436333
310.5666667,-88.3786,-30.88409
310.6,-88.3786,-30.89648
310.6333333,-88.3786,-30.90887
310.6666667,-88.3786,-30.92126
310.7,-88.3786,-30.93365
310.7333333,-88.3786,-30.94604
310.7666667,-88.37234667,-30.95843
310.8,-88.34957333,-30.97082
310.8333333,-88.3268,-30.98321
310.8666667,-88.30402667,-30.9956
310.9,-88.28125333,-31.00799
310.9333333,-88.25848,-31.02038
310.9666667,-88.23570667,-31.03277
311,-88.21293333,-31.04516
311.0333333,-88.19864,-31.05755
311.0666667,-88.1926,-31.06994
311.1,-88.19012,-31.08233
311.1333333,-88.18764,-31.09472
311.1666667,-88.18516,-31.10711
311.2,-88.19132,-31.1195
311.2333333,-88.19864,-31.13189
311.2666667,-88.20724,-31.14428
311.3,-88.22432,-31.15667
311.3333333,-88.2414,-31.16906
311.3666667,-88.25848,-31.18145
311.4,-88.27556,-31.19384
311.4333333,-88.29264,-31.20623
311.4666667,-88.30972,-31.21862
311.5,-88.3268,-31.23101
311.5333333,-88.34388,-31.2434
311.5666667,-88.36096,-31.25083
311.6,-88.37804,-31.28138333
311.6333333,-88.39512,-31.31193667
311.6666667,-88.4122,-31.34249
311.7,-88.42928,-31.37304333
311.7333333,-88.44636,-31.40359667
311.7666667,-88.46344,-31.43415
311.8,-88.48052,-31.46470333
311.8333333,-88.4976,-31.49525667
311.8666667,-88.50329333,-31.52581
311.9,-88.50898667,-31.55636333
311.9333333,-88.51468,-31.58691667
311.9666667,-88.52037333,-31.61747
312,-88.52946667,-31.64802333
312.0333333,-88.54004,-31.67857667
312.0666667,-88.55061333,-31.70913
312.1,-88.55801333,-31.73968333
312.1333333,-88.55713,-31.77023667
312.1666667,-88.55624667,-31.80079
312.2,-88.55536333,-31.83134333
312.2333333,-88.55448,-31.86189667
312.2666667,-88.55359667,-31.89245
312.3,-88.55271333,-31.92300333
312.3333333,-88.55183,-31.95355667
312.3666667,-88.54606667,-31.98411
312.4,-88.54030333,-32.01466333
312.4333333,-88.53454,-32.04521667
312.4666667,-88.52877667,-32.07577
312.5,-88.53015333,-32.10632333
312.5333333,-88.53182,-32.13687667
312.5666667,-88.53348667,-32.16248
312.6,-88.53515333,-32.18808333
312.6333333,-88.53682,-32.21368667
312.6666667,-88.53848667,-32.23929
312.7,-88.54658,-32.26489333
312.7333333,-88.56144667,-32.29049667
312.7666667,-88.57631333,-32.3161
312.8,-88.59118,-32.34170333
312.8333333,-88.60604667,-32.36730667
312.8666667,-88.62091333,-32.39291
312.9,-88.63578,-32.41851333
312.9333333,-88.64488333,-32.44411667
312.9666667,-88.65398667,-32.46972
313,-88.66309,-32.49532333
313.0333333,-88.64902333,-32.52092667
313.0666667,-88.62342,-32.54653
313.1,-88.62672667,-32.57213333
313.1333333,-88.63003333,-32.59773667
313.1666667,-88.63334,-32.62334
313.2,-88.63664667,-32.64894333
313.2333333,-88.63995333,-32.67454667
313.2666667,-88.64326,-32.70015
313.3,-88.64325333,-32.72575333
313.3333333,-88.6352,-32.75135667
313.3666667,-88.62706667,-32.77696
313.4,-88.61893333,-32.80256333
313.4333333,-88.6108,-32.82816667
313.4666667,-88.60266667,-32.85377
313.5,-88.59453333,-32.87937333
313.5333333,-88.5864,-32.90497667
313.5666667,-88.57826667,-32.92314
313.6,-88.57013333,-32.94709
313.6333333,-88.562,-32.97104
313.6666667,-88.55386667,-32.99499
313.7,-88.54573333,-33.01894
313.7333333,-88.5376,-33.04289
313.7666667,-88.52946667,-33.06684
313.8,-88.52133333,-33.09079
313.8333333,-88.5132,-33.11474
313.8666667,-88.51645333,-33.13869
313.9,-88.51970667,-33.16264
313.9333333,-88.52296,-33.18659
313.9666667,-88.52621333,-33.21054
314,-88.52946667,-33.23449
314.0333333,-88.53272,-33.25844
314.0666667,-88.53597333,-33.28239
314.1,-88.53922667,-33.30634
314.1333333,-88.54248,-33.33029
314.1666667,-88.54573333,-33.35424
314.2,-88.54898667,-33.37819
314.2333333,-88.55224,-33.40214
314.2666667,-88.55549333,-33.42609
314.3,-88.55874667,-33.45004
314.3333333,-88.562,-33.47399
314.3666667,-88.56280333,-33.49794
314.4,-88.56360667,-33.52189
314.4333333,-88.56441,-33.54584
314.4666667,-88.56341667,-33.56979
314.5,-88.54119,-33.59374
314.5333333,-88.51896333,-33.61769
314.5666667,-88.49673667,-33.65651
314.6,-88.47451,-33.64329667
314.6333333,-88.45228333,-33.63008333
314.6666667,-88.43005667,-33.61687
314.7,-88.40783,-33.60365667
314.7333333,-88.38560333,-33.59044333
314.7666667,-88.36337667,-33.57723
314.8,-88.34115,-33.56401667
314.8333333,-88.31892333,-33.55080333
314.8666667,-88.29669667,-33.53759
314.9,-88.27447,-33.52437667
314.9333333,-88.28113,-33.51116333
314.9666667,-88.28779,-33.49795
315,-88.29445,-33.48473667
315.0333333,-88.30111,-33.47152333
315.0666667,-88.30777,-33.45831
315.1,-88.31443,-33.44509667
315.1333333,-88.32109,-33.43188333
315.1666667,-88.33212,-33.41867
315.2,-88.34615,-33.40545667
315.2333333,-88.36018,-33.39224333
315.2666667,-88.37421,-33.37903
315.3,-88.3934,-33.36581667
315.3333333,-88.41483667,-33.35260333
315.3666667,-88.40162333,-33.33939
315.4,-88.38841,-33.32617667
315.4333333,-88.37519667,-33.31296333
315.4666667,-88.36198333,-33.29975
315.5,-88.34877,-33.28653667
315.5333333,-88.33555667,-33.27332333
315.5666667,-88.32234333,-33.26011
315.6,-88.30913,-33.31048
315.6333333,-88.29591667,-33.36085
315.6666667,-88.28270333,-33.41122
315.7,-88.26949,-33.46159
315.7333333,-88.25627667,-33.51196
315.7666667,-88.24977,-33.56233
315.8,-88.26298333,-33.6127
315.8333333,-88.29353667,-33.66307
315.8666667,-88.32409,-33.71344
315.9,-88.35464333,-33.76381
315.9333333,-88.38519667,-33.81418
315.9666667,-88.41575,-33.86455
316,-88.40005667,-33.91492
316.0333333,-88.38436333,-33.96529
316.0666667,-88.38836333,-34.01566
316.1,-88.39579,-34.06603
316.1333333,-88.40321667,-34.1164
316.1666667,-88.41064333,-34.16677
316.2,-88.41807,-34.21714
316.2333333,-88.37348667,-34.26751
316.2666667,-88.32890333,-34.31788
316.3,-88.28432,-34.36825
